,ID,Class,Title,Year,Semester,course evaluation,attendance rate,learning load,course difficulty,teaching ability,achievement level,recommendation rate
57209,GEWR001,26,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,4.1,1.0,2.3,2.7,4.8,3.8,
57210,GEWR001,25,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,4.8,1.0,2.5,2.5,4.6,4.2,
57211,GEWR001,24,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,2.6,1.0,3.0,2.9,4.7,3.4,
57212,GEWR001,23,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,3.3,1.0,2.3,3.2,4.5,2.4,
57213,GEWR001,22,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,4.0,1.0,3.2,3.2,4.6,3.8,
57215,GEWR001,20,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,4.8,1.0,1.8,1.9,4.7,3.8,
57216,GEWR001,19,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,4.0,1.0,2.2,2.5,4.7,3.2,
57217,GEWR001,18,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,4.4,1.0,1.8,1.6,4.8,3.1,
57218,GEWR001,17,글쓰기 2019학번 경영대/사범대,2019,2학기,3.1,1.0,3.6,2.9,4.9,2.8,
57219,GEWR001,16,글쓰기 2019학번 경영대/사범대,2019,2학기,4.5,1.0,1.9,1.9,4.8,3.1,
57220,GEWR001,15,글쓰기 2019학번 경영대/사범대,2019,2학기,3.9,0.75,2.2,2.4,4.2,2.7,
57221,GEWR001,14,글쓰기 2019학번 경영대/사범대,2019,2학기,4.9,1.0,2.0,2.3,4.6,3.7,
57222,GEWR001,13,글쓰기 2019학번 경영대/사범대,2019,2학기,2.8,1.0,3.8,3.8,4.5,2.8,
57223,GEWR001,12,글쓰기 2019학번 경영대/사범대,2019,2학기,4.5,1.0,2.1,2.6,4.7,3.5,
57224,GEWR001,11,글쓰기 2019학번 경영대/사범대,2019,2학기,3.7,1.0,3.4,2.4,4.9,2.9,
57225,GEWR001,10,글쓰기 2019학번 경영대/사범대,2019,2학기,4.4,1.0,2.2,2.7,4.8,3.2,
57226,GEWR001,09,글쓰기 2019학번 경영대/사범대,2019,2학기,4.2,1.0,2.8,2.9,4.8,3.9,
57227,GEWR001,08,글쓰기 2019학번 경영대/사범대,2019,2학기,4.2,1.0,2.4,2.5,4.6,3.8,
57228,GEWR001,07,글쓰기 2019학번 경영대/사범대,2019,2학기,4.0,1.0,2.7,2.4,4.8,2.8,
57229,GEWR001,06,글쓰기 2019학번 경영대/사범대,2019,2학기,4.7,1.0,1.7,1.6,4.7,4.1,
57230,GEWR001,05,글쓰기 2019학번 경영대/사범대,2019,2학기,3.7,0.75,1.8,2.1,3.6,3.8,
57231,GEWR001,04,글쓰기 2019학번 경영대/사범대,2019,2학기,4.3,0.75,2.3,1.7,4.2,3.0,
57232,GEWR001,03,글쓰기 2019학번 경영대/사범대,2019,2학기,3.8,1.0,2.6,2.4,5.0,3.3,
57233,GEWR001,02,글쓰기 2019학번 경영대/사범대,2019,2학기,3.5,1.0,3.1,2.9,4.6,3.4,
57234,GEWR001,01,글쓰기 2019학번 경영대/사범대,2019,2학기,4.0,1.0,3.1,2.9,4.9,3.7,
57235,GEST146,00,움직임과건강,2019,2학기,3.7,1.0,3.6,3.2,4.9,3.8,
57236,GEST139,00,시간과공간:묘한상상 4학년은 수강금지(교수자 요청),2019,2학기,2.6,0.0,2.9,3.5,1.3,2.5,
